id	category	text
1790	1	you leave little notes on my pillow    i told you a million times i can t stand little notes on my pillow     we are all out of corn flakes   f   u      it took me three hours to figure out that  f   u     was felix unger          a frustrated oscar madison   walter matthau   running down a list of his complaints against his roommate felix unger   jack lemmon     in the odd couple    the classic neil simon comedy   based on his own stage play   about suicidal felix   lemmon     who is persuaded by his poker friend oscar   matthau   to stay with him in his apartment after felix s wife throws him out and files for divorce    the hook   oscar is messy and likes his apartment that way   while felix is an obsessive compulsive neat freak    the two men   despite their friendship   instantly clash    movies just aren t as delightfully funny as this one is    every line of neil simon s dialogue flows like comedic poetry   and all the actors are just perfect in their performances    lemmon is at his best as the anxiety ridden felix   but it s matthau who shines brightest as oscar   whose world is being invaded and rearranged   mostly against his wishes   the type of character i always enjoy identifying with      and who can forget that catchy score by neal hefti    the best thing about the film   and this is a testament to the quality of the writing   is that it s a comedy with substance    these two men   even while at each other s throats   genuinely care for one another as friends    when they clash   it isn t cartoonish hatred being displayed   but genuine frustration with the fact that they are such good friends but just cannot manage to co exist    movies nowadays   take grumpy old men for example   just don t have that extra spark there    these days it s just animosity for the sake of comedy    a television series followed   starring jack klugman and tony randall     which i ll admit i ve never seen an episode of in its entirety   and neil simon even scripted the sequel   the odd couple ii   which was released in 1998    neither of them compare to this comic masterpiece though    it s one of the best comedies of all time and easily earns its spot in my top ten favorite films    
243	0	the most popular trend of the last couple of years has been the twist ending    watching one of these movies   everything seems to make sense until suddenly you are blown away by an unexpected surprise    when the film ends   there is a moment of confusion   then recollection   then some more confusion   then possibly a second viewing for clarification    this is a description of an ideal twist that perfects everything it sets out to do and more    good surprises make movies fun to watch    then there are the bad twists    you either know what is going to happen ten minutes into the movie   i m talking about you reindeer games   or you did not guess the ending because it is so outrageously stupid    screwed perfectly suits the latter description    what starts out as a dumb guilty pleasure which should be fun to mock with a group of friends ends with a complex finale with way too much going on    by the writers of man on the moon and the people vs    larry flynt   scott alexander and larry karaszewski leave milos forman behind and take a stab at film directing    whoops    screwed is an inane christmas carol gone berserk with few genuine laughs and many acting embarrassments    norm macdonald stars as willard filmore   a hard working chauffeur who just wants a little respect from his rich   old   insidious boss   miss crock   elaine stritch      when he overhears her plans to fire him on christmas day   willard is convinced by his best friend rusty   dave chapelle   to kidnap crock s beloved dog and hold it for a ransom of one million dollars    too excited to pay any attention   the hapless losers  plan goes awry when the dog escapes and returns home    now crock thinks willard has been kidnapped and the two friends   realizing they can make even more money   decide to stage the fake kidnapping    of course   everything that could go wrong does    the first forty five minutes of screwed is harmless entertainment   a guilty pleasure that should be enjoyably bad    but the convoluted script eventually builds into a disaster that is impossible to bear    the more idiotic these characters get   the more reckless the script becomes    at one point   i wanted to get out of my seat and yell at these characters     no   you idiot      i m not just talking about willard and rusty   who were extremely annoying   i m also talking about the cops in this film    a monkey could have solved this case within an hour but these guys   headed by murder one s daniel benzali   were just too clueless to forgive    they give real cops bad names    also poor danny devito apparently does not know how to turn down a role these days    looking almost identical to his penguin in batman   returns   every time he appeared on the screen i had to shake my head in disbelief    he just didn t belong in this movie    macdonald and chapelle are veterans at these kinds of movies but devito made the film much worse than it already was   gross out humor is certainly not his forte    if you re a fan of norm macdonald s other chaotic comedy   dirty work   you might actually love this near sequel    otherwise   don t get screwed out of your hard earned money    
1501	1	towards the middle of   the sweet hereafter     a crowded school bus skids on an icy road surface as it rounds a bend   careens through the steel guard rail   and disappears out of sight    then   in long shot   we see the vehicle slowly sliding across what looks like a snow covered field    it pauses for a moment before the   field   cracks under the bus  weight and the bright yellow vehicle vanishes in an effortless moment   a single smooth second of time    compare that scene   if you will   to the last eighty minutes of   titanic     when the behemoth sinks slowly and spectacularly to its watery demise   and you ll appreciate the futility of comparing greatness in films    the scene in   the sweet hereafter   epitomizes all that s right with independent canadian director atom egoyan s film    it s not sensational    we don t see the inside of the bus with its payload of screaming   terrified children being bloodied and battered about    the bus doesn t explode or break into a thousand tiny pieces    it simply leaves the road and silently slips beneath the surface of a frozen lake    it s a horrifying sequence made all the more so by calm and distance    using a non linear approach to his narrative   egoyan shifts back and forward in time   connecting us with the inhabitants of the small british columbian town who have been severely affected by this tragedy    fourteen children died in the accident   leaving their parents and the town itself paralyzed with grief    the catalyst at the center of the film is ambulance chaser mitchell stephens   a wonderfully moving performance by ian holm     who comes to sam dent to persuade the townsfolk to engage in a class action suit    stephens   who   doesn t believe in accidents     functions as a concerned   involved observer   scribbling details in his notebook and providing the parents with an opportunity to reach some kind of closure in the harrowing aftermath    while stephens  initial drive may be financial   one third of the total settlement if he wins     his involvement provides him more with an outlet to come to grips with his own loss    his self destructive   drug addicted daughter has been in and out of clinics   halfway houses and detox units for years    egoyan s attention to detail and ability to establish mood are so impeccable that even the sound of a kettle boiling resonates like a plaintive cry    mychael danna   who composed the shimmering music for   the ice storm     contributes another memorable score that shivers and tingles    equally impressive is paul sarossy s cinematography   capturing the imposing canadian mountainsides and low hanging fogs as splendidly as his shadowy interiors  in one scene a bright wall calendar serves to illuminate portions of a room       the sweet hereafter     while undeniably grim   urges the viewer to grab onto life with both hands and not let go    it s a film of generous subtlety and emotion    
1229	1	the   submarine   genre of movies seems to be one of the most intriguing and compelling types of storytelling there is    think about it        these films are completely based in reality   yet only a handful of people have ever been on one   making them fascinating to the general public    they aren t like movies that take place on a plane or a train   as anybody can get on one of those    and they aren t like movies that happen in outer space either   because no one s done any of that stuff yet    when a new one comes out   you don t hear anyone say   ugh   another submarine movie   like people tend to say   ugh   another boxing movie      look at modern movies that involve submarines   das boot   the abyss   the hunt for red october   crimson tide        all are well regarded as top notch entertainment    gladly joining that bunch is u 571   which stars matthew mcconaughey as the executive officer of a u   s   naval submarine during world war ii    we learn he has been denied a recommendation for his own command by his superior   bill paxton      mcconaughey s crew then receives orders that they will be boarding a disabled german submarine to steal the enigma   a german communications encoding device that has stumped allied intelligence    the mission goes horribly wrong however   and as a result   mcconaughey and only a handful of his crew   as well as a captured german   become trapped aboard the u 571 in enemy waters    the first great thing about u 571 is the film s opening sequence    the german crew of u 571 are under attack   which sets the events of the rest of the film into motion    it s tense   exciting and fascinating    and i applaud the filmmakers for not copping out and instead keeping the entire sequence in german with english subtitles    most movies with a scene this long would have panicked and had the german crew speaking english right away    once the plot gets moving   u 571 gives us action sequence after action sequence   making the audience wonder   ok   now how do they get out of this        the stakes keep raising   much like in executive decision   an excellent action thriller     and even though the audience knows how the film will end   it s a lot of fun getting there    i only have two minor complaints about the entire film    the first comes from the scenes which follow the opening sequence    while their purpose is to introduce us to the characters and to get the story going   which they do     i feel as though it could have been done much quicker   and less conventionally    i mean   did we really have to see the ship s crew at a wedding    because of that   you now know exactly what s going to happen to the groom    my other gripe would be during the film s finale    there s an explosion which ends the film that is one of the weakest looking cgi effects since the president s plane crashed into the ocean at the end of air force one    i cannot stress this enough        until a cgi effect can be made to look like a model effect   stick with using models    yes   u 571 is historically incorrect and there are surely some specifics in the plot that people who have been onboard a submarine will tell you   that couldn t happen     but the overall point of this film is entertainment    it succeeds fantastically     pg 13   
1618	1	a welcome cinematic trend over the past couple of years has been to make the works of shakespeare more accessible to the younger audiences who are the vast majority of moviegoers by contemporizing the bard and altering the settings to familiar surroundings    a prime example of this is 1999 s 10 things i hate about you   which was basically the taming of the shrew in a high school    less successful was last year s adaptation of hamlet with ethan hawke as the heir apparent of the denmark corp   here the setting was the corporate world of new york    now comes o   a faithful retelling of one of the most tragic of shakespeare s tragedies    like 10 things i hate about you   the stage is a high school   a private prep school where odin james   mekhi phifer   is the on court general   the basketball team s standout player    julia stiles   featured in 10 things i hate about you as well as performing ophelia in hawke s hamlet   plays desi brable   odin s girlfriend   whose father also happens to be dean of the institution    josh hartnett   pearl harbor   is on hand for the villainy   playing the scheming hugo   who sets the tragic wheels in motion    o was actually filmed a couple of years ago   but was shelved because of the columbine high school tragedy    the movie   directed by tim blake nelson   best known for his co starring role in o brother   where art thou      and written by brad kaaya   is very grim    an air of tragedy weighs it down from the opening scene to the closing credits    and that is how it should be    of all of shakespeare s tragedies   othello is the most harrowing   not because of any body count   but because of the psychological havoc wreaked by iago   whose motivation in the sheer pleasure of his treachery    kaaya s profane filled script   after all   these are high school kids   does offer hugo a subtle motive of sorts    the young man considers himself the basketball team s prime utility man who does a little bit of everything   pass   shoot   rebound   but is constantly in the shadow of odin    plus his father   the team s coach   played with a ferocious intensity by martin sheen   showers more love and concern on his star player than on his own flesh and blood    the script follows the familiar lines of the classic    hugo begins dropping hints to odin concerning desi s fidelity   eroding the star s confidence in those he considers closest to him   affecting both his relationships and his game    it all ends in blood   of course   which is why the movie was originally shelved    the performances in o vary    phifer is at first cocky and self assured   emotions he handles with ease    he also does quite well displaying odin s darker side   his defensive sensitivity about being the only black at the institution   his growing distrust of those he loved   his rage and the erosion of his belief system    hartnett is appropriately cool and machiavellian as he weaves his deadly web of lies and deceit   turning friend against friend   and lover against lover    stiles seems a bit stilted   but occasionally also rises to the occasion   moving from adoration to confusion to fear of her young knight    the film does contain a few missteps   a subplot involving hugo s theft of the school mascot is left hanging    also desi s actions concerning michael   andrew keegan     odin s former teammate and best friend who was kicked off the team because of one of hugo s machinations   is puzzling    why she would continually be seen with michael   however innocent the circumstances   when she knows her man suspects the two of cheating behind his back    it is irrational    but these are minor carpings    overall   o is a stylish and faithful adaptation    if nothing else   it may encourage some people to read the original text   and that will counterbalance the severity of this feature    
1582	1	this movie was one of the first american films done by director paul verhoeven    he has done films since then such as basic instict and starship troopers    all of his movies have one main thing in common  they don t skimp on the violence    in a verhoeven movie a guy doesn t get shot once in the chest  he gets shot many times all over the body    robocop takes place in detroit in the future    things are pretty bleak    the company ocp rules the city with an iron fist and is moving in on running the police force    peter weller plays a cop who goes on a mission with his partner   nancy allen    peter weller goes in an empty room alone and gets killed    meanwhile ocp has a failed demonstration of a ed 209 model robot crime fighter    someone comes up with the idea of having a cyborg robocop so they use any parts worth scalvaging from peter weller and make him into the robocop the movie is titled after    the plot of this movie generally runs at a decent pace    it drags a bit towards the end with robocop wanting to finish everybody off   but plot twists keep it exciting    the acting is bad from weller when he is human   but very good when he is robocop    nancy allen does a decent job    this movie doesn t leave itself open for a sequel exactly    but they made one anyway    enter        robocop 2 starring   peter weller and nancy allen directed by   irvin kershner  detroit is in a more bleak state than it was in the first film    ocp is trying to develop an improved  robocop 2  that will be more than a match for criminals    most of the police force is on strike due to ocp taking it over   leaving robocop to be the police force in the city    this film is pretty bizaare    it has a 13 year old drug lord who curses as much as eddie murphy   even more violence than the original   and some more humor    the plot of this movie is pretty large   almost too much so    there are three or four plot lines weaving around that don t really match up    the effects are still decent though    this sequel isn t more of the same really   just a darker version robocop dealing more with drugs than with armed criminals    if you liked the first one   watch this    but be dissapointed    so later comes        robocop 3 starring nancy allen and robert john burke  ocp is now owned by a large japanese company    robocop joins a band of rebels to counter attack the evil empire   i mean ocp    the japanese send a cyborg ninja to deal with robocop    among other things        this movie is easier to follow than the last one    which means the plot isn t quite as crowded    this movie isn t anything special though    just more of robocop blasting things up in a more kid friendly way    really not reccomended    
488	0	where do i begin    okay   how about with this   starship troopers is one of the worst movies to hit theaters in a long time    in fact   it might even be the worst   major   release film to come out in years        or even a decade    this is bad beyond belief    i would   not   suggest paying money to see this    there s a good chance you ll regret it    if you see it for free   you could still want to walk out    go right ahead    the movie starts off with cheesy 90210 scenes set in the future world of       buenos aires    here we meet the group of horrendously bad actors and actresses playing obnoxious   easy to    despise    with a passion characters that have love triangles   love rectangles   and love hexagons screwing up their life    before long they all go off and join the military   primarily in the interest of having sex with the other youngsters that joined    they train    they strut around nude for no reason whatsoever    after an hour of making the audience scream in agony   they start fighting bugs    the big bugs look nice   even though their design is only   okay      unfortunately   the fights are boring since we   want   all of the characters dead anyway    cue more agony    then some characters have sex    then some more die           who cares              cue more agony    the movie ends   the audience runs out to their cars   vomits over the pavement   and attempts to drive home    unfortunately   after that torture   they can t think straight   don t pay attention to the road   and many are in ugly car wrecks    you remember how batman   robin was bad    well   batman   robin kicked this movie s sorry butt   people    starship troopers does not succeed as an action movie    it does not succeed as a drama    it does not succeed as a war movie    it does not succeed as a comedy    it does not succeed as a satire    it does not succeed as a parody    it succeeds as being horrible    terrible    gut wrenchingly bad    i wanted to run away from that movie every minute    but i paid my money and i owed it to others to see if the movie got any better    so i stayed    it never got better    frequently   it did the impossible   and got   worse      the movie as written   acted   directed   and basically just feels as a whole like it s about on the mental maturity level of a free willy 4   the whole thing feels like a movie that only three year olds could enjoy        except for the ridiculously gratuitous blood and gore   and pointless nudity    it s written for little children   but children should definitely   not   go anywhere near it    of course   i recommend the same for everyone    don t go anywhere near it    verhoeven s got a streak going now    his last movie was showgirls    he seems to be trying to see how bad his movies can get before people finally stop coming    showgirls was a failure   but it appears that   though it ll be lucky to make near its budget   this movie will still do okay gross wise    is it really   all   bad    well   no    troopers has about four or five lines of dialouge short humorous scenes that are actually funny   mostly from the   do you want to know more      commercials that pop up throughout the story   promoting the joys of the joining the troopers    so that adds up to about 30 seconds of entertainment and still about one hour   59 minutes   and 30 seconds of miserable torture    i m totally confused as to the way that some people are really enjoying this movie    but i do admit it    so   if you re willing to possibly put yourself through torture   go ahead and see it   and decide for yourself if you love it or hate it    i don t know how anyone or any   thing   could love this movie   but hey   to each his own    feel free to give it a shot    of course   in the interest of saving your souls   i don t recommend it    but guess what    alien resurrection comes out november 26th   and   having already seen some of it and having read the script   i assure you that it will blow pretty much everyone away    though opinion on starship troopers is reasonably split   it ll be difficult to find someone that   won t   like alien resurrection when they ve seen it    this is possibly the year s best intense action film   or at least   one   of the best    if you really want to see alien warfare that s played out intelligently and seriously   see alien resurrection    please   avoid this    
1093	1	accepting his oscar as producer of this year s best picture winner   saul zaentz remarked that his cup runneth over    one could almost say the same about his much prized film    rarely is the screen so overflowing with potent imagery   symbolism   ideas and metaphors   complex and literate storytelling   all possessed of an intelligence that invites    even demands    constant scrutiny   an acuity of perception and observation that must somehow yield the truth    in short   the antithesis of all things hollywood    yet this surfeit of signals is made to serve a rather pale and thinly realized love story whose emotional impact is as dry as a desert wind    ralph fiennes is the title character   an amnesiac burn victim whose gradual return to memory   and particularly the memory of love   is the ostensible focus of the film    but despite the use of numerous flashbacks to help put the pieces of this personal puzzle together   we never learn enough about the man to feel much empathy for him    his emotional life before the story begins is an essential clue that remains withheld    the same can easily be said for every other character in the film   of which there are too many    juliette binoche s nurse comes as close as this film gets to an emotional heart    at least we learn early on that she is scarred by the deaths of those close to her   and so we understand why she is eager to escape the company of her comrades in order to seek refuge in the convalescence of a mysterious   disfigured   dying stranger    even this information is imparted so quickly and in such cursory fashion   however   that it verges on the comical    with so many characters enjoying so little screen time   the film s 160 minutes can be taxing    yet there is something so captivating about the sensibility behind the camera that i couldn t help but feel that greatness was in the air    hints of it were everywhere    in a man who hates ownership but wants desperately to possess his lover   in ancient cave paintings of swimmers copied casually by a modern day swimmer in the sahara   in the way the shifting sands of time obliterate everything more completely than a world war    there is enough latent meaning to supply college film students with paper topics for years    but ultimately the emotional truths writer director anthony minghella was grasping for were never revealed    in the end   i was left with the impression that i had witnessed quite an oxymoron   a haunting bore    bore is perhaps too strong a word    but after drinking in the rich production values   the cup remains only slightly over half full    
1280	1	written by john grisham and robert altman   as al hayes    directed by robert altman  some time ago   a young director was given the opportunity to direct the screen version of a popular novel    the novel was a summer smash   topping best seller lists across the country and already drawing speculation as to which popular actors of the day might play the leads    the only problem   the novel wasn t very good    it was far more pulp than pulitzer    but the director realized that   no matter how pedestrian the prose   this book really grabbed people   that the author   while not a great writer   was a fantastic storyteller    so he took on the project   convinced he could make something happen on screen    the director    francis ford coppola    the book   of course   was mario puzo s the godfather    the rest   as they say in showbiz   was history    by bringing up the godfather   i don t mean to suggest that robert altman s the gingerbread man is destined for that level of greatness    but the parallel does suggest that it is possible to create great cinema from questionable source material    can you get any more questionable than john grisham    depends on whom you ask    but there s no question that grisham s work grabs people    like puzo   grisham is a better storyteller than a writer   unlike fellow hack michael crichton   who is a good idea man but who can t tell a well constructed story from a can of spam    so something in grisham s unpublished story of a cocky savannah lawyer who gets involved in a deadly family squabble drew the attention of robert altman   who at 73 years old remains one of america s greatest living filmmakers    the result is a gripping thriller that   while falling short of classic cinema   deserves its place in the altman canon     from its opening shot to the closing credits   the gingerbread man is permeated with a sense of dread   with a fear of the natural destructive forces of the universe    this terrific sense of mood is a classic altman touch    witness said opening shot   we see an aerial view of coastal georgia with its writhing   undulating landscape while the soundtrack grumbles ominously in our ear    we roll over the hills into the town of savannah   then zoom in close on a red sports car speeding over a bridge while its driver chatters oblivious on his cell phone    right away we know that the driver of that car is in for a few surprises    pay attention   boys and girls   this shot was not conceived by john grisham   but by altman    this is what a great director can do for questionable source material    the sports car belongs to rick magruder   kenneth branagh     the aforementioned hotshot attorney who specializes in police brutality cases    magruder has just won a high profile case and celebrates that night with a catered party at his office    outside after the party he meets one of the waitresses   mallory doss   embeth davidzt     just as she realizes her car has been stolen    driven by southern chivalry   a driving rainstorm and his unspoken attraction to the fragile waitress   magruder offers her a ride home    there he learns more about mallory s life than he bargained for    her car was stolen by her schizophrenic father dixon   robert duvall     a ted kyzynski style whacko who has been stalking and terrorizing his own daughter    magruder   perhaps influenced by mallory s decision to strip off her wet clothes in front of him   is sympathetic to her plight   and offers to help her get her father committed   right after he sleeps with her   of course    this simple offer of help leads magruder down a dangerous path with a black end    he succeeds in having dixon incarcerated in a mental hospital   and for a moment all appears well    but then dixon s crack team of homeless commandos bust him out of the lockup   and suddenly magruder finds himself   mallory and his own children in danger    the cops won t lift a finger to help a liberal attorney    his only allies are his faithful assistant lois   daryl hannah   and his bumbling private eye sidekick clyde   robert downey jr      if this predicament wasn t bad enough   hurricane geraldo is bearing down on savannah and throwing the world into chaos    altman may provide the atmosphere   but branagh s performance holds the gingerbread man together    an accomplished actor when he isn t directing himself in vanity productions   branagh does a fine job of making rick a sympathetic hero while casting doubt upon his motives    is his offer of help to mallory an act of kindness   or of egotism    magruder is so sure of his place in the world that he never considers that he has bitten off more than he can chew until he has to swallow it   and by then it s too late    as the plot unfolds   magruder learns that none of us are as secure as we think we are    and life is never so bad that it can t get worse    if you re familiar with altman s work   you ll recognize several of his signature techniques    characters are not introduced in establishing shots   but rather are allowed to wander in the background of scenes until their importance becomes apparent    crucial scenes are shot from the outside through windows   making the audience unwitting voyeurs of the action    dialog overlaps and the actors seem to slip naturally into an improvisational style    and of course there s my favorite altman technique   the obligatory nude actress shot    thanks to altman   here are some of the actresses i ve had the pleasure of seeing naked   sally kellerman   julianne moore   madeline stowe   even frances mcdormand    and now i can add embeth davidtz   who looks quite healthy in the altogether    the naked actress shot has become as ubiquitous to the altman film as the director cameo was to the hitchcock film    is it old school sexism   or a clever in joke    you be the judge    but back to the picture at hand    in the hands of a mere mortal   the gingerbread man would have been a routine thriller   no better or worse than the countless others we ve all endured    in the hands of a master like altman   it becomes an exercise in existential doom   in its own way far more successful than scorsese s cape fear remake   which tried for the same result    what may prevent it from enduring with altman s greatest work is a weak third act   in fact   there really is no third act in grisham s story   so it appears that altman had to throw in the hurricane just to jazz things up    but there are true moments of riveting suspense   and great performances by branagh   davidzt and downey jr   more than enough to see you through    that polygram so hated this picture that they tried to steal final cut from altman   and then buried the marketing campaign when he won it back   should tell you how utterly clueless of quality most studios are    they probably wanted it to look more like a time to kill    and that   my friends   should make you very afraid    
1655	1	   a man is not a man without eight taels of gold      starring sammo hung   sylvia chang   directed by mabel cheung   written by cheung and alex law   cinematography by bill wong  eight taels of gold begins as a fish out of water story and at some point becomes a love story involving two people whose past choices prevent the fruition of their love    neither aspect of the movie is entirely successful   but both are good enough    and along the way there is one perfect scene   which is one more than you find in most films    slim   played by portly sammo hung   better known as a star and director of hong kong action movies   is a chinese immigrant who drives a yellow cab in new york    when the movie opens   we see him shouting obscenities at another taxi driver    he does not seem particularly out of place    in fact   he is about to return to visit his home in rural china for the first time in sixteen years   spending most of his life savings in the process   and it is there that he will become the proverbial fish out of water   as he realizes that you can never go home    he brings with him some statue of liberty cigarette lighters   cheap sunglasses   and lobsters   which have to be large   to prove they re american     the tokens of his success    he also wears a gold chain and a gold watch   because without eight taels of gold   a man is not a man   my dictionary tells me that taels are a unit of weight used in the far east   and i assume the phrase is a chinese proverb      he loses most of this stuff  except the gold  when his van crashes into a river and he has to hitch a ride   so to speak   on a raft along the river which runs past his parents  village    when he arrives unannounced   he almost induces cardiac arrest in his father    all of this has the makings of a routine comedy   and the movie has its amusing moments   as when the villagers take turns giving slim gifts during a celebration of his homecoming   and they all give him birds   so by evening s end he is surrounded by turkeys   ducks   geese and other sundry fowl    but eight taels is not a comedy  it is a sad   sweet story about the choices people make   and how they are sometimes irreparable    director mabel cheung   an autumn s tale   the soong sisters   sees clearly what it is like to have lived half of your life in one country and half in a country on the other side of the world  what it is like to no longer have a place to call home    slim does not belong in china   nor does he belong in america   where he can barely speak the language    seeing water buffalo in the fields and rafts poled down the river and fireworks exploding gloriously in the sky over a small village   we come to know the world slim left behind   and it seems as if he too is knowing it for the first time   and wishes it felt more like home    the condition of the expatriate is eloquently portrayed   i   being one   was sympathetic    on his way to his parent s village   slim hooks up with jenny   sylvia chang     whom he knew when she was a girl nicknamed odds and ends   which is what he continues to call her   although she is now a mature   professional   attractive woman   to be married in the spring to an american chinese man    slim and odds and ends fall for each other    that s predictable    the manner in which their   non    romance is played out is not    the emotions involved are adult and complex   and the film avoids cheap solutions to their dilemma    it s typical   for instance   that the fianc   in this sort of plot be a colossal jerk   because it makes it easier to empathize with the unrequited lover    but here the fianc   is a decent   ordinary guy   and although slim would like to feel anger   he cannot    the fianc   has done nothing wrong   the situation is the result of bad luck or bad decisions   take your pick    eight taels has its share of flaws   the early sequences in america and on the plane to china are especially weak     but it compensates with insight    when odds and ends tells slim that her future husband wants to move to san francisco   she notes resignedly     it s all the same    wherever we go   we ll be in chinatown     and her straightforward statement expresses much    there is insight   too   in the understanding of the consequences of slim and odds and ends  decisions   he to move to america   she to marry a chinese american    both their choices were perhaps born of impatience   perhaps of a sense that the grass is always greener  and it turns out that both choices were wrong    but they cannot undo them   they must live with what they have done    such is life    the movie is tender toward these people   but it offers no false comforts    everything that is right and true about eight taels comes together in one great scene   which is the culmination of the love story    slim and odds and ends sit in a secluded spot and talk hesitantly   with the muted pop pop of fireworks exploding in the night behind them   and it seems the conversation will lead to a kiss    the exchange that follows   and what slim then does   is poignant and perfect   with clarity and understatement   we see two people s lives   their heartbreaks and virtues   summed up in a single moment    yes   the film is flawed   but moments like that justify most of its inadequacies    
