id	category	text
858	0	burnt money is the perfect festival film    it will show once or twice   and then no one   thankfully   will ever have to hear from it again    this film from the seattle international film festival 2001 s emerging masters series is easily one of the year s worst    billed as a gay  bonnie and clyde    this gritty film from director marcelo pi   eyro has its only highlight in a well designed title sequence    two gay lovers get involved in a bank robbery that makes a gang leader   whose plan they screwed up   angry    this causes the gang leader to send his boys out to get the gay guys   one of whom may not actually be gay    hiding out in a prostitute s apartment   the two men must fight off police and gang members in a very long showdown for the movie s conclusion    if caught   they risk losing all the money   and their love    as an added emotional bonus   one of the gay men is dying    or something like that    everything that happens is so quick and confusing i was completely lost    clarity isn t exactly this movie s striving virtue   so it was a little hard to pick up    not much could have really happened though    the main events in this long two hour film are explicit homosexual and heterosexual sex   graphic drug use   extreme violence   and strong language    lots of explicit material is never a bad thing when there s a reason   but there s no purpose to anything in this film    most of the sex and violence scenes come off as silly   while the heavy drug use comes off as ridiculous and depressing    it appears pi   eyro   who co wrote with marcelo figueras   from a novel by ricardo piglia   purposefully adds more blood and lovemaking for his own amusement    he makes the actors as sweaty and dirty as possible   makes them snort cocaine   gives them guns and condoms   and lets them go    burnt money is pointless    the performances are bad    it tries to thrill and shock   but only causes boredom    god forbid it will ever get a distributor    another disappointing film from this year s so called emerging masters series    pass on by    
1762	1	the   italian hitchcock   and acknowledged master of the giallo murder mystery dario argento again offers us a fascinating turn on the formula in pheneomena    this time the twist comes in the form of jennifer corvino   jennifer connelly     a bright teenager with gift for telepathically communicating with insects    sent to a girls boarding school in switzerland   she soon learns of a series of bizarre disappearances and at least one murder that has the school s population terrified    a chance meeting with a brilliant entomologist   donald pleasance   leads the two of them to team up and solve the mystery with the aid of her remarkable gift    phenomena is an imaginative   original thriller    writer director argento creates several sequences of surreal   haunting beauty here   including a masterfully shot sleepwalking episode and a striking scene when a swarm of flying insects descends on the school at jennifer s beckoning    the plot takes some wonderfully bizarre turns and the killer s identity is genuinely shocking and surprising    the director took a big gamble with a soundtrack that mixes elements as diverse as heavy metal band iron maiden   ex rolling stone bill wyman   and argento s favourite gothic electronic outfit goblin    but it gels surprisingly well    the film s opening music reccurs several times   an eerie and evocative score that perfectly sets the overall tone    argento fans beware   the film was released outside europe in a terribly butchered form re titled as creepers    this deleted nearly half an hour of footage   mainly of key dialogue scenes    
235	0	at times   you d think edtv would be an entertaining film    i mean   who can resist the story of your average joe becomming a celebrity by having his life filmed every minute of every day    but this average joe   ed perkuny     matthew mcconaughay     is a sappy   lifeless creation that wanders around   trying to solve everyone s problems and settle his own    mcconaughay is awful   especially because he is trying to pull off his usual hollywood charm with a 3 week beard and torn jeans    frankly   he had more charm in the devestating flop the newton boys    he overacts in every way   his overexaggerant body language   obsession with kissing women every second he gets the chance   and that cliched scene where he loses someone in his life   and drops to his knee and cries    the rest of the cast is very good   especially martin landau   as ed s step father     who plays a cute role as the close to death old guy that makes all the witty comments    jenna elfman is good     but a little overemotional     her main problem is that she keeps getting sucked into bad films   i   e    can t hardly wait   and krippendorf s tribe    woody harrelson   as ed s brother ray   does his usual egg headed role   with his comic wit as well   he wrote a book entitled     my brother pissed on me        elizabeth hurley is perfectly cast as the easy slut   and dennis hopper   in a quick cameo as ed s biological father   is a nice choice   ironically coming after the role he turned down as christof in the truman show      ellen degeneres stood out as the executive who   after awhile   decides the show must not go on much to the opposite of the head exec   rob reiner s opinion    i hate to compare this film to the truman show   but the fact is   i was ashamed to see this movie    it felt that i had dropped from college to kindergarten after seeing truman and ed    edtv had no real wit or genius   it was typical hollywood    extracting the tv part of the movie   you have the simple plotline   man steals brother s girlfriend   girlfriend leaves town   man gets new slut girlfriend to feel like he can move on   slut breaks up with him   real girlfriend comes back   and voila   you have a romance    i got so restless during this movie   i almost walked out    the only reason it doesn t drop below a   c   grade is because of the fine supporting performances    ad2am   i almost lost my nose       and  i like it    i like breathing through it       jack nicholson   chinatown  
712	0	after a marketing windup of striking visuals and the promise of star caliber actors   mission to mars ends up throwing a whiffleball    fiercely unoriginal   director depalma cobbles together a film by borrowing heavily from what has gone before him    there are aliens similar to those in close encounters of the third kind    the stranded astronaut theme is reminiscent of robinson crusoe on mars    the astronauts encounter space flight difficulties that smack of apollo 13    interior spacecraft visuals are redolent of 2001   a space odyssey    instead of using these components as a launching pad to create his own movie   de palma stops right there   refusing to infuse the film with anything even remotely resembling cleverness or heart    mission to mars takes it s first wobbly steps at a pre launch barbeque in which the perfunctory character introductions are done    during these surface scans of the characters   we learn that jim mcconnell   sinise   has lost his wife    it s a plot point revisted throughout the film with jackhammer subtlety    the rest of the crew exhibit a bland affability    there is no contentiousness   no friction to add the the dramatic tension of these men and women being confined to close quarters for an extended length of time    maybe depalma was going for the comraderie of the right stuff   but in that movie   the astronauts had embers of personality to warm us through the technical aspects    it s the year 2020 and this is nasa s first manned excursion to the red planet    a crew   led by luke graham   cheadle     arrives on mars and quickly discovers an anomaly   which they investigate with tragic results    graham is able to transmit a garbled distress call back to earth    in response   earth sends a rescue team comprised of mcconnell   woody blake   robbins     wife terri fisher   nielsen   and phil ohlmyer   o connell      obstacles are put in the crew s way and and they matter of  factly go about solving them    i should say   mcconnell goes about solving them    time and again   mcconnell is presented as some kind of wunderkind   which wouldn t be so bad if the rest of the crew didn t come across as so aggressivelly unremarkable       mention should be made of the misogynistic handling of fisher in a situation where the entire crew s mission and life is in mortal danger    on a team of professionals   she is portrayed as an emotion directed weak link    women serve no purpose in the movie other than to serve as a reflection of a male character s personality trait      by the time they land on mars and try to solve the mystery of what occurred   mission to mars starts laying on the cliches and stilted dialogue with a heavy brush    there is an adage in film to   show   don t tell      mission to mars does both    repeatedly    characters obsessively explain the obvious   explain their actions as they are doing them   explain to fellow astronauts facts which should be fundamental knowledge to them    the film s conclusion is momumentally derivative   anti climatic and unsatisying    as i walked out i wondered who the target audience might be for this film    the best i could come up with is pre teen age boys   but in this media saturated era   this film s components would have been old hat even for them    i have to think what attracted such talent to this film was the lure of making a good   modern day b movie    the key to such a venture is a certain depth and sincerity towards the material    i felt no such earnestness    
1319	1	john cusack is the kind of actor who seems to effortlessly slide into his respective film roles    so effortlessly that people tend to forget he s there   much in the way people rarely recall many of the great character actors   anyone who can put the name james rebhorn with that actor s face is invited to treat themselves to a product from one of my sponsors      example   the other day my mother asked me   the expert   of course   if there were any movies out worth seeing   never mind that our tastes couldn t be more divergent    i ll never forget the day she recommended that i go see a night at the roxbury for god sakes   and to be fair she was mightily pissed at me for telling her that go    was a lot of fun   which it is     so i didn t see this as anything more than a futile attempt at conversation    i muttered   with a little trepidation   that she might enjoy high fidelity    she responded with her usual query     whose in that one      this is a question whose answer that seems to immediately conjure up the kind of movie you went to see    if the reply is julia roberts you probably assume it was something wispy and light   a sylvester stallone movie and you picture a bloodbath with few words and much involuntary bicep flexing   and a woody allen movie means hyper articulate white people   usually of the jewish faith   fretting about in some upper east side palace    anyway   when i answered   john cusack     she replied with a rather stunned   who       as if it was unreasonable for her to know whom i was referring to    now i know for a fact that my mother has seen several cusack movies   most recently being john malkovich and pushing tin   but i suppose it s understandable that she would not recognize the name   after all   for most   names are tougher than faces    i showed her a picture of cusack s mug in the paper hoping for an   oh   him   yes he s quite good   instead i got a   no   i don t know him      at this point i was way beyond frustration into a realm of nose hair yanking anger   yes   filmic ignorance is all it takes to get me into the nose hair pulling zone     till i realized something   i doubt that much of america would recognize cusack s relatively bland visage   or even the name which is rather bland compared to the coolness of a brad pitt or tom cruise   one syllable names that glide off the tongue with the velocity of a speeding car    cu sack   cu sack   no   not quite as cool    i m sure that twenty years from now cusack will forever be referred to as   the guy from   add in the cusack film of your choice        he s not a brand name   and his movies usually aren t big moneymakers   but in his own unassuming way he s kind of a genius    with his pleasant   common man looks   and charming semi articulate blatherings he has become one of the most likeable romantic leading men of the 90 s    from the sure thing to say anything cusack has merged the talents of early tom hanks and early jack lemmon    despite the fact that nearly every character he plays is a variation of the character before it   the schlumpy every man     he s a constantly enjoyable screen persona   like albert brooks or woody allen    and he knows how to chose scripts   while the stephan baldwin s and val kilmer s seem to put them selves in everything   the former actually had the insight to follow up oscar winner usual suspects with a pauly shore vehicle   and judging from his latest projects it looks like he still has yet to fire his agent     cusack generally picks rewarding projects   save for the unwatchable hot pursuit   a 1988 film also featuring a young ben stiller      high fidelity is his second collaboration with hit or miss english director stephan fears   the grifters   the hi lo country     and it s a hit    it was also co written by cusack   and some of his collaborators on the terrific comedy   grosse point blank    it s not quite as entertaining or as funny as that film   but as it progresses in its meandering fashion   the movie cast something of a spell over me    high fidelity begins as a hipster ode to the non committal rob   a vinyl record store owner   who opens the film by breaking down the fourth wall with much abandon and educating us in his   top 5 break ups list      this is something cusack does the entire film a la ferris bueller s day off    at first the talking directly into the camera schtick had me vaguely annoyed   mostly because it reminded me so much of the film body shots which used a similar conceit   but it began to grow on me due almost entirely to cusack s witty delivery    he s the kind of guy we don t mind talking directly to us    gradually the film settles into a shampoo like tragi comic character study   of a guy who must confront himself and his personal failures in order to figure out the true person he is   yes it s all very existential      though that plot line is mostly enjoyable   the thing i liked the most about the film is how much pleasure it offers in introducing us to minor characters   all of whom   now this is really something   are terrific enough to warrant their own films    the best of which is jack black   of the very funny show tenacious d   a program that sadly went the way of bruce willis  hair       unfortunately that annoying smirk remains     an ardent record store employee who bullies customers into buying exactly what he wants them to buy    he s the kind of guy i m sure we ve all met before   a blowhard who thinks he s always right and will do anything in his power   be it yell   argue   insult   to hoist his opinion onto others    but i like this guy   because of how black plays him    the actor is portly with a round baby face and crazy eyes   but despite his size he leaps to and fro like a manic speed freak   which might be a bit of a redundant description   seeing as how all the speed freaks i know are manic      he s the kind of supporting character who would be impossibly annoying comic relief in most other films       look at what that hack jan de bont did to poor phillip seymour hoffman in twister      but fears and black never let that happen    the character   for all his shucking and jiving is steeped in reality    he s over the top   but in a way we can all probably relate to    catherine zeta jones   in her brief role   gives a vivid portrayal of a women completely enamored with her own   charm      tim robbins registers in an even tinier part as a new age type   a character played entirely for cartoon yuks   but still manages to work its desired comic effect    the one exception in the acting department is a bit of a doozy   the main love interest played by danish actress iben hjejle   mifune     who completely obliterates any trace of a danish accent   replacing it with a stilted american phonation    i give her kudos for attempting such a contradictory role   but instead of being likeable   she comes across as rather robotic   and as such it s hard to see why cusack s character would be so obsessed with her especially when he has a beautiful   intelligent writer   natasha gregson wagner   potentially waiting in the wings    this reminded me of say anything   where the charming cusack was paired with the charmless ione skye   and in midnight in the garden of good and evil where the poor bastard had to put up with alison eastwood   whose unbelievably more wooden then father   clint for those   special people   whose wheels turn a little slower      in fact cusack is rarely paired up with a personality that matches his   though i d bet that if laura and natasha switched roles   the result would be more effective    high fidelity works almost entirely on the strength of its characters and performances    fears  direction is somewhat stilted   and the script is sometimes a little too   and this is a word i m beginning to hate to use but alas i must   quirky for its own good   i think i ll blame that on scott rosenberg   who judging from what he did with beautiful girls   con air   and things to do in denver while your dead   has his fingerprints all over the most irritating bits of this movie      but cusack really does deserve an award   for being so damn       cusackian    i m afraid that his talents are so understated that he may have to wait till his hip needs replacing to be offered such an award worthy of his considerable talent    his character   rob   whose sort of like an older   more bitter lloyd from say anything   is funny and tragic without being pathetic   and that cusack can do all this   and still not imprint himself onto the minds of most audiences   is something of an achievement    
1488	1	every once in a while a movie comes along that completely redefines the genre   with dramas   it was citizen kane   with arthouse it was pulp fiction   and with comedy it was   well   that jim carrey guy   okay   so he s not a movie   but he did have a huge influence on the genre    not to mention an expensive one      sometimes a movie even combines them all into a big   sprawling motion picture event   as did forrest gump four years ago    with action films   it was aliens   whic was released to much hype seven years after it s equally innovative parent   alien   1979      directed and written by james cameron   t2   judgement day   the abyss   true lies     the authority on action films   it was a masterful encore to his sci fi thriller the terminator   1984      while the original alien film was a dark   enclosed horror film that featured one alien slowly massacering a horrified crew   james cameron took the big budget action film with aliens   which featured multiple aliens doing basically the same thing   although on a much larger scale    and boy   did he take that route    i d say at about 165 mph or so        the film opens 57 years after the original   with lt   ripley   weaver   being found in her ship in a cryogenic state by a salvage vessel    if you ll recall   at the end of alien ripley   the only surviving member   cryogenically   hibernated   herself after expelling the rogue alien from her ship    unfortunately   she thought she d only be out for a couple of weeks        once she s returned to earth   ripley is quickly interrogated by   the company     who quickly dismiss her and her stories as lunacy    in truth   they believe her   as they soon approach ripley with an offer to travel with some marines to a new colony planet as an   alien advisor      it seems that the colony planet was a once breeding ground for the nasty aliens   and now all communication with the planet has been lost        it doesn t exactly take a genius to guess what happens next   ripley agrees   and before you can say   big mistake     she and the half dozen marines   plus the slimy corporate guy   reiser     who has more than it looks like up under his sleeve   are off to the colony    when they arrive   they find the planet in ruins    only one survivor is found   a little girl   newt   who confirms that   yes   the aliens were here and that she only managed to survive by hidding in the ventilation system    and soon enough   the marines come under attack from the aliens        what happens for the next hour and a half or so is what completely sets this movie apart from any other standard alien sci fi movie   the action scenes    cameron directs them so skillfully   and so suspensefully   that you re literally ringing your hands by the time the finale rolls around    which features   in my opinion   the best fight scene ever recorded on film   as ripley straps herself into a huge robot and battles the nasty queen alien to the death    many people will tell you that this film   while being a great action film   has no real drama and is all cliches    well   they would be wrong   my friends    if this film had no   drama     then why was sigourney weaver nominated for best actress at the 1987 academy awards    that s right   best actress    you know that any action film that has an oscar nomination attached to it for something other than technical stuff like editing and f x has got to be good    in short   aliens combines all the right elements   great action and f x   drama   a good plot   good dialogue   and great villains   into what could arguably be called the best action film of all time    then again   maybe not    movies rise and fall from glory and   sad to say   aliens was wrestled from it s throne of best action movie by another cameron film   t2   judgement day   in 1991    so who will be the next king    well   let s wait until december 19th and see yet another james cameron film the highest budgeted film of all time titanic to make that decision    i can t wait    
76	0	for better or worse   the appearance of basic instinct in the movie marketplace gave the greenlight to a whole slew of overheated   oversexed   underwritten thrillers    apparently not having joe eszterhas as the writer doesn t change a thing   since body of evidence wasn t written by him   but has a puzzling eszterhas ish presence all over it    in other words   it s a   really dirty and b   really   really stupid    madonna   first warning sign   stars in body of evidence as a woman who has piles of money and no apparent job   she lives on a houseboat and likes to parade around semi naked   presumably for the edification of the shrimp    she s been accused of having murdered an older man who was her lover    already two classic examples of hollywood sexism are in effect    the first being that any woman in a movie cannot be sexual unless she s under thirty   or at least looks it     and that they usually only exist for the sake of studs or filthy rich older men    what s worse is that the movie confirms all the above   and wallows in them as well    madonna s character is accused of forcing sex on the old goat when she knew darned well he had a heart condition       and yes   there are the obligatory cracks from the cops about how at least he died happy    this movie leave no scummy stone unturned      anyway   willem dafoe   very good but completely wasted   also stars as the lawyer who is doomed to run afoul of madonna s sexuality    how do we know this    because his character is set up with the token wife and kids    how obvious is it that he s gonna cheat on her and have to fess everything up    and get kicked out of the house    and get welcomed back anyway    don t skip to the end yet   we re just getting warmed up    dafoe and madonna have a lot of sex in this movie    most of it is about as erotic as open heart surgery   since it involves such goodies as hot candlewax   always the kink of choice among screenwriters who don t know the first thing about   really   kinky sex   and smashed light bulbs    don t ask    another thing that people are starting to realize about explicit sex in movies is that unless it is critically important to the story   it s insanely dull    what s worse is that body of evidence is dull   everywhere     not just in the sex scenes    the stuff in the courtroom is recycled ninth hand from other bad courtroom drama scenes    the thriller business itself is ridiculous    it involves nasal spray bottles and drugs   and juergen prochnow as a surly doctor    and the ending    another homage to eszterhas   maybe       is one of those endings where you can almost see the exact   frame   where one of the five or six various endings to this mess was spliced in    the director is uli edel   all the more disappointing since he also directed the elegiac and powerful last exit to brooklyn and christiane f   everyone has to eat   i guess   but this isn t a meal ticket   it s leftovers    
69	0	   first rule of fight club is   don t talk about fight club      this quote deals directly with my opinion of this film   because quite frankly   it s not even worth mentioning    director david fincher   seven   has completely gone over the edge    with crude humor   an intolerable script and 2 hours and 19 minutes of pure torture   i m surprised i didn t walk out    this just goes to show that hype kills    it s very rare that a film so hyped up as   fight club   turns out to be noteworthy   and this is no exception    the story goes like this    edward norton is an insomniac trying to enlighten his dull life by going to a variety of disease therapy sessions   until he meets marla   helena bonham carter      norton claims that she is wrecking his pleasurable lifestyle   when he spots her at a session that he also attended    apparently the disease sessions help them see what life is like   literally living in pain    why any person would think of such a thing is beyond me   but things do get worse    norton is soon assigned to a job that calls for traveling   and it s on a plane that he meets tyler durden   brad pitt      the two men develop a bond   and go out to a bar   and by golly after they get drunk   the two pitiful characters fight    how do they come up with this stuff    anyway   their fighting catches other pathetic loser s attention   and a club is formed    out of all this mess   there manages to lie a message    fincher shows us that society is like robots    we work in our jobs doing things step by step   and want out    our insanity gets to our brain and makes things worse than they really are   and we blame it on others    call me crazy   but this is common knowledge    i think fincher was acting as if the film is moodier and more poignant than it really is   which is probably one of the reasons it fails miserably    even with two good actors   and a solid actress   they only manage to weaken the story    i couldn t help but hide my face in shame when norton beats himself up into a bloody pulp    it just shows how desperate the script is for attention    i guess brad pitt was right for this role   because i felt like beating him up myself    his bothersome and depressing character   made me disgusted at his 20 million fee    it only showed me that he was in it for the money and nothing more    helena bonham carter however really had no purpose    she just popped up on screen   mumbled some lines   smoked and left    this continues for what seems like 6 hours    the film drags on and my headache gets bigger   while   fight club   nears what i think might be the end    unfortunately by then   the film hits rock bottom    though the conclusion kept my interest for a mere 5 minutes   it backs down again and continues to move at a snails pace    on a side note   the trailer shows the only redeeming elements of the film   that coincidentally lasts the same amount of time that they did on the trailer    fincher will hopefully regret making this film or at least learn a lesson    concentrating on the atmosphere or a particular key moment   won t do any good if everything else is in need of support    also   i m afraid that immature men might respond to the film s violence    the last thing the world needs is people praising a leader of a pointless cult    when the film ends   i m just glad to get home and take some advil    you ll either enjoy what the film has to offer   or agree with ed norton when he says   this is so f       ing stupid      
1144	1	it is hard to imagine that a movie which includes abortion and incest as prominent plot devices could be so sensitive   so delicate   so insightful and yes   even so enjoyable    somehow   the cider house rules manages to keep an even keel in the face of the harsh subject matter and allows a substantial amount of heart to shine through    set in the 1940 s   the film tells the story of a unique young man named homer wells   tobey maguire   ride with the devil      an orphan   twice rejected as an infant by possible adoptive parents   he grows up in the care and under the tutelage of dr   wilbur larch   michael caine   little voice     father figure to the orphans of st   cloud   obstetrician or abortionist to the unhappily pregnant women who come there seeking his help    figuring that as long as homer was going to stay at the orphanage   he might as well be of use   dr   larch begins teaching him all he knows about obstetrics    soon homer is delivering babies like a professional    he refuses to perform abortions   instead wondering why the couples just didn t behave more responsibly    larch   too old and experienced to have such youthful ideals   marvels that homer   continues to have such high expectations of people      such is the result of an insulated upbringing    though skilled in certain medical procedures   homer remains woefully naive and ignorant about most everything else    he finally figures that in order to find his place in the world   he must go out into it    befriending a young couple who had come to see dr   larch   he hitches a ride with them and parlays that into landing a job as an apple picker with a group of black migrant workers at the orchard where they lived    thus   homer begins his worldly instruction   with new friend candy kendall   charlize theron   the astronaut s wife   a willing tutor    tobey maguire is well cast yet again as an inherently good man who is seeking answers to life s questions        many of which he was unaware needed to be asked    he demonstrates a quiet strength and thoughtful curiosity that is both warm and appealing    michael caine is   in a word   brilliant as the caring caretaker of these orphans   many of whom he helped to bring into the world    calling them   princes of maine   kings of new england   in his ritualistic goodnight   mr   caine manages to communicate the love and commitment larch has towards these children without becoming maudlin or saccharine    delroy lindo   a life less ordinary   has many powerful moments as mr   rose   the strong and charismatic leader of the apple pickers whom homer joins    director lasse hallstrom   what s eating gilbert grape     and screenwriter novelist john irving   the world according to garp     who adapted his own work for this movie deserve much of the credit for the balanced approach to the sensitive subject matter    regardless of one s personal stand on the divisive matter of abortion   it is hard to imagine anyone becoming offended by the evenhanded treatment used by these filmmakers    the title is a reference to a list of rules posted in the quarters of the illiterate apple pickers    figuring the rules didn t apply to them since they didn t have a hand in writing them   they decide to ignore the list and make up their own rules as they go along    dr   larch   in his own way   acts similarly    there is a danger in that line of reasoning    god has also given us a set of rules    unlike the list posted in the cider house   god s rules   if followed   promise us benefits beyond our imagination    and yet   many continue to ignore his   rules   preferring to make up their own as they go through life       trust in the lord with all thine heart   and lean not unto thine own understanding      proverbs 3   5  kjv   just as a builder follows a designer s blueprint or a conductor follows a composer s score   why shouldn t we follow the rules of life given to us by life s architect for our own blessing    
75	0	late in down to you   the lead female character   julia stiles   states her greatest fear is having an   artificial conversation   with her boyfriend   freddie prinze jr        the irony of this statement will not be lost on audience members who have not yet walked out   fallen asleep   or otherwise given up on this pathetic attempt at romantic comedy    the film is a multi million dollar testament to everything artificial    filled with characters   motivation   plot and dialogue that ring fake and shallow at every step this is an unquestionable disaster    prinze plays a college student intent on playing the field until he falls for stiles  freshman co ed    at first the movie seems to be an attempt to string along scenes with the sole purpose of out doing the previous in how   cute   it can be    the happy couple   psychoanalyze   each other   they pick out a song because   as prinze s dj mother   lucie arnez   explains   every couple needs a song   he smells her shampoo   she scratches his chest in the morning to let him know she wants to make love    then   in standard romantic comedy style   things fall apart    why    well   because they have to    otherwise the couple can t make up and live   presumably   happily ever after    down to you exists outside the realm of normal logic    scenes do not connect to each other and it often seems to be attempting some sort of surrealism   but this is handled so poorly that everything comes off random and stupid instead    a picnic scene involving the six key characters is just bizarre   not only for the stretched logic of these people hanging out together   or even knowing each other   but mostly because an unusual amount of screen time is dedicated to a goat    the supporting characters are remarkably flat   and insultingly ridiculous as well    stiles  best friend   rosario dawson   is a pot head   prinze s roommate   shawn hatosy   is a girl crazy fool who can t meet women   and then there are the porn stars   zak orth and selma blair      he is one of those famous porn stars who is frequently interviewed on television   does the college lecture circuit   and stars in high budget costume epic porns that are shot on film    you know   the average porn star    the costume epic idea gives him a reason to appear in a different ridiculous outfit everytime he s on screen   the porn angle exists just so there can be a couple of stupid sex jokes    she is a porn star mostly so we know she s slutty   so her very existence will make stiles jealous and prinze tempted    attempts at drama   which means julia is going to cry   include a pregnancy scare and the big break up    these characters are so insipid only the most forgiving viewer would be manipulated by these weak scenes    what happened here    the cast is full of likable   promising   young actors   stiles especially seems to be going places      writer director kris isacsson has simply given them material so weak not even seasoned pros could pull it off    in fact the whole film feels like a reworking of last year s extremely unpleasant the story of us   for teen audiences    the direction is film school grad obvious    it s stylish in a hugely self conscious way which throws in split screen   a pointless parody of   cops     characters walking into the flashbacks of other characters   and a hilariously cheesy airport meeting between prinze and stiles where all the extras move in fast motion while the couple moves in extreme slow motion    plus   the whole story is told flashback style   narrated by prinze and stiles directly addressing the camera    this is the second film in a row   following wing commander   starring freddie prinze jr   which should have premiered on the aisles of the local blockbuster but was likely saved from that fate due to the fluke success of she s all that    if he doesn t start making better choices fast his future films won t be so lucky    
